condition_id,model_id,checkpoint_hash,architecture,split,transform,severity,seed,mean_latency_ms,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
jpeg_50,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,jpeg,50.0,,4.022248991175873,5099,0.5,2593,3,4,2499,0.998627181800353,0.9986231468308908,0.998800959232614,0.9984019176987616,0.9986013986013986,0.9999895349001844,0.999989220687015,0.0011556240369799,0.0015980823012385,0.0011534878139007
jpeg_50,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,jpeg,50.0,,4.3275765716813455,5099,0.5,2538,58,77,2426,0.9735242204353796,0.9734474254931064,0.9766505636070854,0.9692369157011588,0.972929617004211,0.9965548275813244,0.9966373305018046,0.022342064714946,0.0307630842988413,0.0202240235767689
jpeg_30,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,jpeg,30.0,,1.0940875522660234,5099,0.5,2594,2,11,2492,0.99745048048637,0.9974174288234704,0.9991980753809142,0.995605273671594,0.997398439063438,0.99993567041584,0.999934781900898,0.0007704160246533,0.0043947263284059,0.0023451330584615
jpeg_30,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,jpeg,30.0,,4.008669090213337,5099,0.5,2594,2,6,2497,0.9984310649146892,0.9984162302617444,0.9991996798719488,0.9976028765481424,0.9984006397441024,0.9999889193060776,0.9999886019354584,0.0007704160246533,0.0023971234518577,0.0012321567344424
jpeg_30,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,jpeg,30.0,,4.315858585604618,5099,0.5,2543,53,75,2428,0.9748970386350264,0.9748099660992324,0.9786376461104394,0.970035956851778,0.9743178170144462,0.9966957986317806,0.9968001090499612,0.0204160246533127,0.0299640431482221,0.0196405751676757
blur_0.5,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,blur,0.5,,1.177338574621547,5099,0.5,2588,8,2,2501,0.9980388311433614,0.9980596473753838,0.9968114786767636,0.9992009588493808,0.9980047885075818,0.9999359782128934,0.9999379425889022,0.0030816640986132,0.0007990411506192,0.0016860767313813
blur_0.5,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,blur,0.5,,4.135821171994039,5099,0.5,2589,7,3,2500,0.9980388311433614,0.9980524910938924,0.997207818109294,0.9988014382740712,0.998003992015968,0.9999855335384904,0.9999851486426088,0.0026964560862865,0.0011985617259288,0.0012368919744429
blur_0.5,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,blur,0.5,,4.330959777604632,5099,0.5,2532,64,69,2434,0.9739164542067072,0.9738898837573648,0.9743795036028824,0.9724330803036356,0.9734053189362128,0.9965894547498318,0.9966899636951496,0.024653312788906,0.0275669196963643,0.0200314142684726
blur_1,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,blur,1.0,,1.1705529739172151,5099,0.5,2590,6,3,2500,0.9982349480290252,0.9982450951000555,0.997605746209098,0.9988014382740712,0.9982032341784788,0.9999429036465948,0.999944330702937,0.0023112480739599,0.0011985617259288,0.00155039651134
blur_1,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,blur,1.0,,4.133610509901867,5099,0.5,2592,4,3,2500,0.998627181800353,0.9986303031123822,0.9984025559105432,0.9988014382740712,0.9986019572598362,0.9999884576104976,0.9999881597509362,0.0015408320493066,0.0011985617259288,0.0009739975341754
blur_1,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,blur,1.0,,4.3374012318083945,5099,0.5,2539,57,70,2433,0.9750931555206904,0.9750383515128532,0.9771084337349396,0.972033559728326,0.9745643901462048,0.9965298960199992,0.9966295671271868,0.0219568567026194,0.0279664402716739,0.0199513902099071
blur_2,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,blur,2.0,,1.17940235575909,5099,0.5,2588,8,4,2499,0.9976465973720338,0.9976601268000742,0.9968089349820504,0.9984019176987616,0.9976047904191616,0.9999281293880318,0.9999298850124564,0.0030816640986132,0.0015980823012385,0.0019507573953829
blur_2,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,blur,2.0,,4.134851188664302,5099,0.5,2594,2,5,2498,0.998627181800353,0.9986159905493992,0.9992,0.9980023971234518,0.9986008394963022,0.9999762996268884,0.9999759345546024,0.0007704160246533,0.0019976028765481,0.0013287851107023
blur_2,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,blur,2.0,,4.340394791135051,5099,0.5,2536,60,82,2421,0.9721514022357324,0.9720634160425056,0.9758162031438936,0.9672393128246104,0.9715088282504012,0.9958604374288604,0.9959896657797151,0.0231124807395993,0.0327606871753895,0.0216304989631758
resize_0.5,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,resize,0.5,,1.1263420904101282,5099,0.5,2589,7,2,2501,0.9982349480290252,0.998252251381547,0.9972089314194578,0.9992009588493808,0.9982039513071244,0.9999353626187866,0.9999379516964838,0.0026964560862865,0.0007990411506192,0.001611728406567
