evaluation_title,dataset_id,random_policy,breakdown_type,breakdown_value,model_id,model_title,num_trials_represented,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> blur -> resize,sid_a_clean,SID A — EfficientNet clean training,5,208,0.5,111,0,3,94,0.9855769230769231,0.9845360824742269,1.0,0.9690721649484536,0.9842931937172775,1.0,1.0,0.0,0.030927835051546393,0.008494838013210307
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> colour -> blur,sid_a_clean,SID A — EfficientNet clean training,5,208,0.5,104,0,12,92,0.9423076923076923,0.9423076923076923,1.0,0.8846153846153846,0.9387755102040817,0.9999075443786982,0.9999084249084249,0.0,0.11538461538461539,0.03623355254276052
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> colour -> crop,sid_a_clean,SID A — EfficientNet clean training,5,204,0.5,106,0,26,72,0.8725490196078431,0.8673469387755102,1.0,0.7346938775510204,0.8470588235294118,0.9996149403157489,0.9995998399359743,0.0,0.2653061224489796,0.08497095873176494
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> colour -> noise,sid_a_clean,SID A — EfficientNet clean training,5,237,0.5,126,1,70,40,0.70042194092827,0.6778811739441661,0.975609756097561,0.36363636363636365,0.5298013245033113,0.977380100214746,0.9696411269655354,0.007874015748031496,0.6363636363636364,0.2605072964615548
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> colour -> resize,sid_a_clean,SID A — EfficientNet clean training,5,230,0.5,129,0,5,96,0.9782608695652174,0.9752475247524752,1.0,0.9504950495049505,0.9746192893401016,0.9996929925550694,0.9996228194247997,0.0,0.04950495049504951,0.020599505807154403
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> crop -> blur,sid_a_clean,SID A — EfficientNet clean training,5,231,0.5,122,0,29,80,0.8744588744588745,0.8669724770642202,1.0,0.7339449541284404,0.8465608465608465,0.9974432245450444,0.9977837735951944,0.0,0.26605504587155965,0.09308072532757491
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> crop -> colour,sid_a_clean,SID A — EfficientNet clean training,5,236,0.5,132,0,17,87,0.9279661016949152,0.9182692307692308,1.0,0.8365384615384616,0.9109947643979057,0.9999271561771562,0.9999084249084247,0.0,0.16346153846153846,0.05803062518548697
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> crop -> noise,sid_a_clean,SID A — EfficientNet clean training,5,225,0.5,118,0,71,36,0.6844444444444444,0.6682242990654206,1.0,0.3364485981308411,0.5034965034965035,0.9876445430064945,0.9865258217750243,0.0,0.6635514018691588,0.27701085651129775
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> crop -> resize,sid_a_clean,SID A — EfficientNet clean training,5,199,0.5,91,0,14,94,0.9296482412060302,0.9351851851851851,1.0,0.8703703703703703,0.9306930693069307,0.9963369963369964,0.9971696588790977,0.0,0.12962962962962962,0.056841715283241875
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> noise -> blur,sid_a_clean,SID A — EfficientNet clean training,5,221,0.5,113,0,56,52,0.746606334841629,0.7407407407407407,1.0,0.48148148148148145,0.65,0.98992133726647,0.9903944129451336,0.0,0.5185185185185185,0.21804564825472023
